Weight IDs and Descriptions from LHERunInfoProduct:
----------------------------------------
Weight ID: reference_point, Value: 0.188727, Description: N/A
Weight ID: EFTrwgt57_ctGIm_0p195_ctGRe_0p738_cQj38_m2p131_cQj18_2p714_cQu8_m0p216_cQd8_0p949_ctj8_m2p479_ctu8_m0p057_ctd8_m0p03_cQj31_0p719_cQj11_2p763_cQu1_m0p269_cQd1_m0p332_ctj1_0p021_ctu1_m1p089_ctd1_m1p913, Value: 0.0921324, Description: N/A
Weight ID: EFTrwgt58_ctGIm_m0p676_ctGRe_m0p906_cQj38_m0p819_cQj18_m0p297_cQu8_0p157_cQd8_0p503_ctj8_m1p853_ctu8_2p141_ctd8_m2p274_cQj31_2p607_cQj11_1p956_cQu1_m0p366_cQd1_m2p111_ctj1_0p074_ctu1_m2p466_ctd1_m0p59, Value: 0.0977706, Description: N/A
Weight ID: EFTrwgt59_ctGIm_0p053_ctGRe_0p24_cQj38_m0p928_cQj18_m1p283_cQu8_2p96_cQd8_m1p66_ctj8_m1p472_ctu8_1p929_ctd8_m1p427_cQj31_0p194_cQj11_0p271_cQu1_m0p662_cQd1_2p073_ctj1_0p281_ctu1_m2p649_ctd1_0p023, Value: 0.0447652, Description: N/A
Weight ID: EFTrwgt60_ctGIm_m0p082_ctGRe_m0p846_cQj38_m1p551_cQj18_1p756_cQu8_m2p457_cQd8_m0p849_ctj8_2p689_ctu8_1p583_ctd8_2p79_cQj31_0p572_cQj11_m0p419_cQu1_0p169_cQd1_0p346_ctj1_2p832_ctu1_m2p26_ctd1_2p618, Value: 0.160756, Description: N/A
Weight ID: EFTrwgt61_ctGIm_0p19_ctGRe_m0p033_cQj38_1p317_cQj18_2p024_cQu8_m0p53_cQd8_m2p307_ctj8_m1p176_ctu8_2p364_ctd8_0p705_cQj31_m2p554_cQj11_m0p894_cQu1_m0p217_cQd1_2p305_ctj1_m0p688_ctu1_m2p196_ctd1_2p253, Value: 0.172489, Description: N/A
Weight ID: EFTrwgt62_ctGIm_0p412_ctGRe_0p598_cQj38_0p306_cQj18_m0p987_cQu8_1p972_cQd8_m2p315_ctj8_2p256_ctu8_2p118_ctd8_m0p488_cQj31_m1p657_cQj11_m1p536_cQu1_2p142_cQd1_m0p355_ctj1_2p38_ctu1_m0p587_ctd1_1p674, Value: 0.0176616, Description: N/A
Weight ID: EFTrwgt63_ctGIm_0p676_ctGRe_0p27_cQj38_m2p46_cQj18_m1p111_cQu8_0p731_cQd8_m2p524_ctj8_1p543_ctu8_m0p414_ctd8_m1p187_cQj31_m0p27_cQj11_m1p549_cQu1_m2p986_cQd1_0p636_ctj1_m0p765_ctu1_m1p003_ctd1_0p462, Value: 0.0145817, Description: N/A
Weight ID: EFTrwgt64_ctGIm_0p301_ctGRe_m0p968_cQj38_0p571_cQj18_2p713_cQu8_m2p441_cQd8_m1p278_ctj8_m1p279_ctu8_m2p724_ctd8_1p447_cQj31_2p538_cQj11_2p865_cQu1_1p576_cQd1_1p289_ctj1_m1p566_ctu1_m0p363_ctd1_0p048, Value: 0.0905252, Description: N/A
Weight ID: EFTrwgt65_ctGIm_m0p61_ctGRe_0p559_cQj38_m1p021_cQj18_m0p294_cQu8_2p204_cQd8_1p311_ctj8_m2p761_ctu8_0p446_ctd8_m0p324_cQj31_1p825_cQj11_m0p618_cQu1_m0p733_cQd1_2p33_ctj1_m2p955_ctu1_0p187_ctd1_2p536, Value: 0.21883, Description: N/A
Weight ID: EFTrwgt66_ctGIm_m0p191_ctGRe_0p553_cQj38_m1p353_cQj18_m2p955_cQu8_m0p832_cQd8_2p726_ctj8_1p3_ctu8_m0p865_ctd8_m0p656_cQj31_m0p206_cQj11_0p038_cQu1_m0p733_cQd1_1p912_ctj1_0p934_ctu1_1p401_ctd1_m0p78, Value: 0.0987803, Description: N/A
Weight ID: EFTrwgt67_ctGIm_m0p961_ctGRe_0p4_cQj38_m2p82_cQj18_1p668_cQu8_0p697_cQd8_m0p338_ctj8_m2p701_ctu8_m1p018_ctd8_2p491_cQj31_m2p514_cQj11_m0p942_cQu1_0p898_cQd1_m2p57_ctj1_2p169_ctu1_1p816_ctd1_0p939, Value: 0.0973745, Description: N/A
Weight ID: EFTrwgt68_ctGIm_0p874_ctGRe_0p429_cQj38_m1p435_cQj18_m2p497_cQu8_m0p57_cQd8_2p082_ctj8_m0p136_ctu8_m2p548_ctd8_m1p879_cQj31_m1p977_cQj11_m2p831_cQu1_m2p965_cQd1_1p247_ctj1_m0p747_ctu1_1p393_ctd1_2p696, Value: 0.167695, Description: N/A
Weight ID: EFTrwgt69_ctGIm_0p159_ctGRe_0p498_cQj38_m1p598_cQj18_m1p53_cQu8_2p034_cQd8_m1p122_ctj8_2p455_ctu8_2p186_ctd8_m0p487_cQj31_m1p466_cQj11_0p348_cQu1_1p54_cQd1_m0p438_ctj1_1p507_ctu1_m0p465_ctd1_0p642, Value: 0.0202361, Description: N/A
Weight ID: EFTrwgt70_ctGIm_0p006_ctGRe_0p032_cQj38_0p933_cQj18_2p53_cQu8_1p822_cQd8_m2p406_ctj8_m0p791_ctu8_1p543_ctd8_0p215_cQj31_1p909_cQj11_1p046_cQu1_m0p923_cQd1_0p305_ctj1_1p731_ctu1_0p676_ctd1_m1p019, Value: 0.0199932, Description: N/A
Weight ID: EFTrwgt71_ctGIm_0p319_ctGRe_0p561_cQj38_m2p471_cQj18_m0p385_cQu8_m2p873_cQd8_m1p82_ctj8_m2p06_ctu8_1p171_ctd8_1p763_cQj31_2p917_cQj11_1p716_cQu1_m2p263_cQd1_2p258_ctj1_m1p295_ctu1_m0p737_ctd1_m0p066, Value: 0.0793105, Description: N/A
Weight ID: EFTrwgt72_ctGIm_m0p136_ctGRe_m0p549_cQj38_m1p695_cQj18_2p87_cQu8_m2p129_cQd8_1p948_ctj8_m2p622_ctu8_m1p293_ctd8_1p857_cQj31_2p759_cQj11_1p533_cQu1_1p224_cQd1_m2p875_ctj1_2p679_ctu1_1p61_ctd1_m2p443, Value: 0.375845, Description: N/A
Weight ID: EFTrwgt73_ctGIm_0p976_ctGRe_m0p785_cQj38_m2p688_cQj18_2p557_cQu8_1p497_cQd8_m1p024_ctj8_m0p205_ctu8_2p226_ctd8_m0p233_cQj31_m0p794_cQj11_0p531_cQu1_2p583_cQd1_m2p276_ctj1_0p984_ctu1_m2p072_ctd1_m1p096, Value: 0.148704, Description: N/A
